"Risk Category";"Risk Type";"Likelihood";"Severity";"Total";"Comments";"Possible country-specific deviations (Score)";"Possible country-specific deviations (Comment))"
"MACRO";"Political and legal";2;3;"Medium High";"For a long time, no concept has been set in the agricultural sector and thus, of course, the situation does not make it any easier for entities that are directly dependent on government decisions through the Ministry of Agriculture - I mean agricultural enterprises. I see this situation as unfavorable";4;"The extent of autonomy of higher education institutions varies from country to country."
"MACRO";"Economic";3;2;"High Medium";"We can say with absolute certainty that either simultaneously or with a time lag, a relationship was found between the growth of gross domestic product and the development of sales of the company and vice versa. or easier availability of bank loans.";3;"The level and nature of these risks vary to some extent from country to country."
"MACRO";"Social";3;2;"High Medium";"Factors that affect the company are the living standards of the population, especially customers of agricultural equipment and related consumer habits of buyers. In the field of agricultural technology, the education of employees in the field is very important. The required education should be supplemented by knowledge of dealing with the customer and willingness to meet his needs.";3;"The level and nature of these risks vary to some extent from country to country."
"MACRO";"Technological";2;2;"Medium";"Technological progress in agricultural machinery is quite high. Machines that are innovated are being sold, the performance of the machines is constantly increasing, and modern digital technologies are being incorporated into the machines to make working in agriculture as easy as possible.";3;"The level and nature of these risks vary to some extent from country to country."
"MACRO";"Environmental";2;2;"Medium";"Currently, the company is also affected by the ""green"" issues in the form of financial cost-effectiveness of offered fuels containing bio-components or efforts to decompose exhaust fumes based on chemical reactions to components that are less harmful to the environment. Of course, these methods are also used by competitors, in order to be visible and gain a competitive advantage.";4;"The level and nature of these risks vary substantially from country to country."
"INDUSTRY";"Existing competition";1;1;"Low";"Unfortunately, agriculture is also a sector of unexpected change, the more difficult it is then to fight the competition. We can say that this is a tough and uncompromising fight. It is realized primarily through prices, quality, transport distance and ability to provide services.";2;"The level and nature of these risks vary slightly from country to country."
"INDUSTRY";"Potential competition";1;2;"Low Medium";"The risk of new competitors entering the market is very small, mainly due to the large number of barriers to entry into the sector. Entry into the industry is associated with high capital intensity compared to uncertain and not entirely satisfactory profits. In particular, new competitors are discouraged from entering the market by very high initial investments in machinery, equipment and modern technologies, high prices and a shortage of land or a shortage of manpower.";3;"The level and nature of these risks vary to some extent from country to country."
"INDUSTRY";"Substitution possibilities";1;2;"Low Medium";"Due to the fact that there is not a very large possibility of producing new products in the field of agriculture, the replacement of products by means of substitutes is not perceived as a great threat. Companies usually produce the same products, which differ in price or quality as a result.";2;"The level and nature of these risks vary slightly from country to country."
"INDUSTRY";"Power of suppliers";3;1;"High Low";;3;"The level and nature of these risks vary to some extent from country to country."
"INDUSTRY";"Power of buyers";2;3;"Medium High";;5;"The level and nature of these risks vary greatly from country to country."
"COMPANY";"Resources: Human";3;3;"High";"Shortage of staff";5;"The level and nature of these risks vary greatly from country to country."
"COMPANY";"Resources: Tangible";1;2;"Low Medium";;3;"The level and nature of these risks vary to some extent from country to country."
"COMPANY";"Processes";1;2;"Low Medium";;2;"The level and nature of these risks vary slightly from country to country."
